Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                         sell_profit_u_bear_1_1( clucHA ) |      17 |     17     0     0   100 |           1.25 |          21.22 |            49.931 |           0.28 |
|                      signal_profit_q_pmax_bear( sqzmom ) |      15 |     15     0     0   100 |           2.74 |          41.1  |            98.744 |           0.53 |
|                                                      roi |      14 |     14     0     0   100 |          20.48 |         286.71 |           688.8   |           3.72 |
|                                  sell_profit_t_1_1( bb ) |      14 |     14     0     0   100 |           1.49 |          20.91 |            50.227 |           0.27 |
|                          sell_stoploss_deadfish( gumbo ) |      13 |      0     0    13     0 |         -10.75 |        -139.72 |          -335.666 |          -1.81 |
|                     signal_profit_q_momdiv_coh( sqzmom ) |      10 |     10     0     0   100 |           2.84 |          28.36 |            63.078 |           0.37 |
|                         sell_stoploss_deadfish( sqzmom ) |      10 |      0     0    10     0 |         -10.92 |        -109.21 |          -260.812 |          -1.42 |
|                         sell_profit_t_cti_r_0_1( gumbo ) |      10 |     10     0     0   100 |           0.56 |           5.65 |            13.288 |           0.07 |
|                         signal_profit_q_momdiv( sqzmom ) |      10 |     10     0     0   100 |           3.1  |          31.05 |            74.585 |           0.4  |
|                        sell_profit_t_cti_r_0_1( clucHA ) |       9 |      9     0     0   100 |           0.5  |           4.5  |            10.814 |           0.06 |
|                         sell_profit_u_bear_1_2( nfi_38 ) |       8 |      8     0     0   100 |           1.3  |          10.42 |            25.038 |           0.14 |
|                             sell_profit_u_bear_1_1( bb ) |       6 |      6     0     0   100 |           1.39 |           8.34 |            20.038 |           0.11 |
|                                sell_profit_t_1_1( ewo2 ) |       6 |      6     0     0   100 |           1.68 |          10.1  |            24.271 |           0.13 |
|                         signal_profit_q_momdiv( nfi_38 ) |       6 |      6     0     0   100 |           3.12 |          18.72 |            44.963 |           0.24 |
|                       sell_profit_t_1_1( local_uptrend ) |       6 |      6     0     0   100 |           1.62 |           9.71 |            23.329 |           0.13 |
|                              sell_profit_t_0_2( clucHA ) |       6 |      6     0     0   100 |           0.8  |           4.8  |            11.529 |           0.06 |
|                              sell_profit_t_0_1( clucHA ) |       6 |      6     0     0   100 |           0.59 |           3.54 |             8.503 |           0.05 |
|                              sell_profit_t_1_1( sqzmom ) |       5 |      5     0     0   100 |           1.38 |           6.89 |            16.545 |           0.09 |
|                         sell_profit_u_bear_1_2( clucHA ) |       5 |      5     0     0   100 |           1.29 |           6.45 |            15.498 |           0.08 |
|                         signal_profit_q_momdiv( nfi_13 ) |       5 |      5     0     0   100 |           3.92 |          19.58 |            47.041 |           0.25 |
|                           signal_profit_q_momdiv( ewo2 ) |       5 |      5     0     0   100 |           4.83 |          24.16 |            58.046 |           0.31 |
|              signal_profit_q_momdiv_coh( local_uptrend ) |       4 |      4     0     0   100 |           3.82 |          15.27 |            36.676 |           0.2  |
|                  signal_profit_q_momdiv( local_uptrend ) |       4 |      4     0     0   100 |           9.45 |          37.81 |            90.826 |           0.49 |
|                             signal_profit_q_momdiv( bb ) |       4 |      4     0     0   100 |           7.38 |          29.5  |            70.874 |           0.38 |
|                        signal_profit_q_pmax_bear( ewo2 ) |       3 |      3     0     0   100 |           2.99 |           8.96 |            21.535 |           0.12 |
|                                  sell_profit_t_0_1( bb ) |       3 |      3     0     0   100 |           0.41 |           1.22 |             2.938 |           0.02 |
|                             sell_profit_t_1_12( clucHA ) |       3 |      3     0     0   100 |           1.53 |           4.6  |            11.049 |           0.06 |
|                             sell_stoploss_deadfish( bb ) |       3 |      0     0     3     0 |         -14.88 |         -44.63 |          -107.221 |          -0.58 |
|                         sell_profit_u_bear_1_1( sqzmom ) |       3 |      3     0     0   100 |           1.83 |           5.49 |            13.191 |           0.07 |
|                     signal_profit_q_momdiv_coh( nfi_38 ) |       3 |      3     0     0   100 |           2.36 |           7.08 |            17.001 |           0.09 |
|                           sell_profit_t_1_1( bb clucHA ) |       3 |      3     0     0   100 |           1.62 |           4.85 |            11.644 |           0.06 |
|                                  sell_profit_t_0_2( bb ) |       3 |      3     0     0   100 |           0.23 |           0.68 |             1.64  |           0.01 |
|                             sell_profit_t_1_12( nfi_38 ) |       3 |      3     0     0   100 |           1.43 |           4.28 |            10.283 |           0.06 |
|                    signal_profit_q_momdiv( ewo2 clucHA ) |       3 |      3     0     0   100 |           6.52 |          19.56 |            46.999 |           0.25 |
|                       sell_profit_t_0_1( local_uptrend ) |       3 |      3     0     0   100 |           0.24 |           0.71 |             1.712 |           0.01 |
|                     signal_profit_q_momdiv_coh( nfi_32 ) |       2 |      2     0     0   100 |           2.12 |           4.23 |            10.174 |           0.05 |
|                         sell_profit_u_bear_1_2( sqzmom ) |       2 |      2     0     0   100 |           1.57 |           3.14 |             7.541 |           0.04 |
|                     signal_profit_q_momdiv_coh( nfi_13 ) |       2 |      2     0     0   100 |           2.76 |           5.52 |            13.255 |           0.07 |
|                              sell_profit_t_0_1( sqzmom ) |       2 |      2     0     0   100 |           0.22 |           0.45 |             1.07  |           0.01 |
|                        sell_profit_t_cti_r_0_1( nfi_38 ) |       2 |      2     0     0   100 |           0.39 |           0.79 |             1.888 |           0.01 |
|                      sell_stoploss_deadfish( bb clucHA ) |       2 |      0     0     2     0 |         -10.28 |         -20.57 |           -49.406 |          -0.27 |
|                         signal_profit_q_momdiv_coh( bb ) |       2 |      2     0     0   100 |           3.93 |           7.87 |            18.903 |           0.1  |
|                         sell_stoploss_deadfish( nfi_38 ) |       2 |      0     0     2     0 |          -6.5  |         -13    |           -31.234 |          -0.17 |
|                        sell_profit_t_cti_r_0_1( sqzmom ) |       2 |      2     0     0   100 |           0.54 |           1.07 |             1.815 |           0.01 |
|                         signal_profit_q_momdiv( bb ewo ) |       2 |      2     0     0   100 |           8.46 |          16.92 |            40.639 |           0.22 |
|                      signal_profit_q_pmax_bear( nfi_13 ) |       2 |      2     0     0   100 |           2.63 |           5.26 |            11.138 |           0.07 |
|                  sell_profit_u_bear_1_1( local_uptrend ) |       2 |      2     0     0   100 |           1.33 |           2.65 |             6.368 |           0.03 |
|                            sell_stoploss_u_e_1( clucHA ) |       2 |      0     0     2     0 |          -7.95 |         -15.9  |           -38.19  |          -0.21 |
|                         sell_profit_t_1_1( ewo2 clucHA ) |       2 |      2     0     0   100 |           1.86 |           3.73 |             8.949 |           0.05 |
|                            sell_profit_u_bear_1_1( ewo ) |       2 |      2     0     0   100 |           1.14 |           2.28 |             5.474 |           0.03 |
|                sell_profit_t_0_1( local_uptrend clucHA ) |       2 |      2     0     0   100 |           0.67 |           1.34 |             3.224 |           0.02 |
|                             sell_profit_t_1_11( clucHA ) |       2 |      2     0     0   100 |           1.42 |           2.84 |             6.825 |           0.04 |
|                           signal_profit_q_momdiv( cofi ) |       2 |      2     0     0   100 |           2.13 |           4.25 |            10.22  |           0.06 |
|                             sell_stoploss_u_e_1( gumbo ) |       2 |      0     0     2     0 |          -6.49 |         -12.98 |           -31.182 |          -0.17 |
|                      sell_profit_t_1_11( local_uptrend ) |       2 |      2     0     0   100 |           1.62 |           3.25 |             7.796 |           0.04 |
|                sell_profit_t_1_1( local_uptrend clucHA ) |       2 |      2     0     0   100 |           1.43 |           2.85 |             6.859 |           0.04 |
|                          sell_profit_u_bear_1_1( gumbo ) |       2 |      2     0     0   100 |           1.59 |           3.19 |             7.214 |           0.04 |
|                       signal_profit_q_momdiv_coh( cofi ) |       1 |      1     0     0   100 |           2.73 |           2.73 |             6.555 |           0.04 |
|                         sell_profit_u_bear_1_1( nfi_38 ) |       1 |      1     0     0   100 |           1.81 |           1.81 |             4.345 |           0.02 |
|                  sell_stoploss_deadfish( clucHA sqzmom ) |       1 |      0     0     1     0 |          -6.45 |          -6.45 |           -15.493 |          -0.08 |
|                               sell_profit_t_0_3( gumbo ) |       1 |      1     0     0   100 |           0.15 |           0.15 |             0.351 |           0    |
|            signal_profit_q_pmax_bear( bb local_uptrend ) |       1 |      1     0     0   100 |           2.42 |           2.42 |             5.803 |           0.03 |
|                     sell_profit_t_cti_r_0_1( local_dip ) |       1 |      1     0     0   100 |           1.01 |           1.01 |             2.418 |           0.01 |
|               signal_profit_q_momdiv_coh( gumbo nfi_32 ) |       1 |      1     0     0   100 |           2.74 |           2.74 |             6.572 |           0.04 |
|                      sell_profit_t_1_12( local_uptrend ) |       1 |      1     0     0   100 |           1.78 |           1.78 |             4.273 |           0.02 |
|                signal_profit_q_pmax_bear( gumbo sqzmom ) |       1 |      1     0     0   100 |           4.42 |           4.42 |            10.607 |           0.06 |
|                            sell_stoploss_deadfish( ewo ) |       1 |      0     0     1     0 |          -8.74 |          -8.74 |           -21.006 |          -0.11 |
|                             sell_profit_t_1_12( sqzmom ) |       1 |      1     0     0   100 |           1.25 |           1.25 |             3.005 |           0.02 |
|        sell_profit_u_bear_1_1( local_uptrend local_dip ) |       1 |      1     0     0   100 |           1.33 |           1.33 |             3.188 |           0.02 |
| signal_profit_q_pmax_bear( bb local_uptrend ewo clucHA ) |       1 |      1     0     0   100 |           4.65 |           4.65 |            11.175 |           0.06 |
|                sell_profit_t_0_2( local_uptrend clucHA ) |       1 |      1     0     0   100 |           0.54 |           0.54 |             1.02  |           0.01 |
|                     sell_stoploss_u_e_1( local_uptrend ) |       1 |      0     0     1     0 |         -18.61 |         -18.61 |           -44.717 |          -0.24 |
|           sell_stoploss_deadfish( local_uptrend clucHA ) |       1 |      0     0     1     0 |         -10.91 |         -10.91 |           -26.219 |          -0.14 |
|                          sell_profit_t_cti_r_0_1( cofi ) |       1 |      1     0     0   100 |           0.84 |           0.84 |             2.017 |           0.01 |
|                                sell_profit_t_0_1( cofi ) |       1 |      1     0     0   100 |           0.64 |           0.64 |             1.548 |           0.01 |
|                      sell_profit_u_bear_1_1( local_dip ) |       1 |      1     0     0   100 |           1.03 |           1.03 |             2.47  |           0.01 |
|                              sell_profit_t_1_9( nfi_38 ) |       1 |      1     0     0   100 |           1.49 |           1.49 |             3.578 |           0.02 |
|                            signal_profit_q_momdiv( ewo ) |       1 |      1     0     0   100 |           6.84 |           6.84 |            16.442 |           0.09 |
|               signal_profit_q_momdiv_coh( clucHA gumbo ) |       1 |      1     0     0   100 |           7.49 |           7.49 |            18.005 |           0.1  |
|                                  sell_profit_t_1_5( bb ) |       1 |      1     0     0   100 |           1.78 |           1.78 |             4.286 |           0.02 |
|                   signal_profit_q_momdiv( gumbo sqzmom ) |       1 |      1     0     0   100 |           3.58 |           3.58 |             8.612 |           0.05 |
|                 signal_profit_q_momdiv_coh( r_deadfish ) |       1 |      1     0     0   100 |           2.72 |           2.72 |             6.527 |           0.04 |
|                         sell_profit_u_bear_1_2( nfi_13 ) |       1 |      1     0     0   100 |           1.49 |           1.49 |             3.581 |           0.02 |
|                              sell_profit_t_0_3( nfi_38 ) |       1 |      1     0     0   100 |           0.35 |           0.35 |             0.851 |           0    |
|                              sell_profit_t_0_1( nfi_32 ) |       1 |      1     0     0   100 |           0.02 |           0.02 |             0.037 |           0    |
|        signal_profit_q_momdiv( bb local_uptrend clucHA ) |       1 |      1     0     0   100 |          10.62 |          10.62 |            25.52  |           0.14 |
|                       signal_profit_q_momdiv_coh( ewo2 ) |       1 |      1     0     0   100 |           3.67 |           3.67 |             8.828 |           0.05 |
|                        signal_profit_q_momdiv_1h( ewo2 ) |       1 |      1     0     0   100 |           2.68 |           2.68 |             6.431 |           0.03 |
|                             sell_profit_t_1_4( bb ewo2 ) |       1 |      1     0     0   100 |           1.83 |           1.83 |             4.39  |           0.02 |
|                              sell_profit_t_1_1( nfi_33 ) |       1 |      1     0     0   100 |           1.46 |           1.46 |             3.509 |           0.02 |
|                             sell_profit_t_1_12( nfix_5 ) |       1 |      1     0     0   100 |           1.54 |           1.54 |             3.699 |           0.02 |
|                   signal_profit_q_pmax_bear( local_dip ) |       1 |      1     0     0   100 |           2.46 |           2.46 |             5.906 |           0.03 |
|                sell_profit_t_1_1( local_uptrend nfi_32 ) |       1 |      1     0     0   100 |           1.28 |           1.28 |             3.073 |           0.02 |
|                                 sell_profit_t_1_7( ewo ) |       1 |      1     0     0   100 |           1.4  |           1.4  |             3.355 |           0.02 |
|             sell_stoploss_deadfish( local_uptrend ewo2 ) |       1 |      0     0     1     0 |          -6.99 |          -6.99 |           -16.795 |          -0.09 |
|                           sell_stoploss_deadfish( cofi ) |       1 |      0     0     1     0 |          -7.56 |          -7.56 |           -18.156 |          -0.1  |
|                              sell_profit_t_0_2( sqzmom ) |       1 |      1     0     0   100 |           0.72 |           0.72 |             1.737 |           0.01 |
|                      signal_profit_q_pmax_bull( clucHA ) |       1 |      1     0     0   100 |           3.31 |           3.31 |             7.956 |           0.04 |
|                           sell_profit_t_1_2( bb clucHA ) |       1 |      1     0     0   100 |           1.47 |           1.47 |             3.539 |           0.02 |
|                          sell_profit_t_0_1( r_deadfish ) |       1 |      1     0     0   100 |           1.08 |           1.08 |             2.601 |           0.01 |
|                        sell_profit_t_1_12( ewo2 clucHA ) |       1 |      1     0     0   100 |           1.79 |           1.79 |             4.296 |           0.02 |
|                           sell_stoploss_deadfish( ewo2 ) |       1 |      0     0     1     0 |          -6.61 |          -6.61 |           -15.89  |          -0.09 |
|                          sell_profit_t_cti_r_0_1( ewo2 ) |       1 |      1     0     0   100 |           0.76 |           0.76 |             1.831 |           0.01 |
|                  sell_profit_t_1_1( ewo2 clucHA nfix_5 ) |       1 |      1     0     0   100 |           1.51 |           1.51 |             3.635 |           0.02 |
|                              sell_profit_t_1_7( clucHA ) |       1 |      1     0     0   100 |           1.25 |           1.25 |             3.001 |           0.02 |
|                                sell_profit_t_1_4( ewo2 ) |       1 |      1     0     0   100 |           1.89 |           1.89 |             4.541 |           0.02 |
|               sell_profit_t_1_1( local_uptrend nfix_49 ) |       1 |      1     0     0   100 |           1.28 |           1.28 |             3.066 |           0.02 |
|                      signal_profit_q_momdiv( bb clucHA ) |       1 |      1     0     0   100 |           7.16 |           7.16 |            17.208 |           0.09 |
|                              sell_profit_t_1_9( clucHA ) |       1 |      1     0     0   100 |           1.76 |           1.76 |             4.23  |           0.02 |
|                       sell_stoploss_deadfish( bb gumbo ) |       1 |      0     0     1     0 |          -7.81 |          -7.81 |           -18.751 |          -0.1  |
|                   signal_profit_q_pmax_bear( bb nfi_32 ) |       1 |      1     0     0   100 |           3.24 |           3.24 |             7.783 |           0.04 |
|                     sell_profit_t_cti_r_0_1( bb clucHA ) |       1 |      1     0     0   100 |           0.61 |           0.61 |             1.464 |           0.01 |
|                         sell_profit_t_1_11( r_deadfish ) |       1 |      1     0     0   100 |           1.89 |           1.89 |             4.54  |           0.02 |
|                                sell_profit_t_1_2( ewo2 ) |       1 |      1     0     0   100 |           1.99 |           1.99 |             4.77  |           0.03 |
|                         signal_profit_q_momdiv( nfi_32 ) |       1 |      1     0     0   100 |           6.58 |           6.58 |            15.801 |           0.09 |
