Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    ZIL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    OMG/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ALGO/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    PHA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    SOL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   ROSE/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    ZCX/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    QNT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    HTR/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   LOCG/USDT |     18 |          -0.03 |          -0.46 |            -1.104 |          -0.09 |        3:51:00 |    14     0     4  77.8 |
|    XDB/USDT |      5 |          -0.35 |          -1.75 |            -4.214 |          -0.35 |        3:52:00 |     4     0     1  80.0 |
|  CIRUS/USDT |      8 |          -0.40 |          -3.20 |            -7.680 |          -0.64 |        6:46:00 |     6     0     2  75.0 |
|    BUY/USDT |      5 |          -1.33 |          -6.63 |           -15.934 |          -1.33 |        5:49:00 |     4     0     1  80.0 |
|       TOTAL |    312 |           2.06 |         642.18 |          1542.119 |         128.51 |        1:53:00 |   290     0    22  92.9 |
======================================================================== SELL REASON STATS =========================================================================
|                                          Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|------------------------------------------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|                                   trailing_stop_loss |      59 |     59     0     0   100 |           3.53 |         208.24 |           500.278 |           2.17 |
|                     signal_profit_q_momdiv( clucHA ) |      16 |     16     0     0   100 |           4.05 |          64.83 |           155.759 |           0.68 |
|                  signal_profit_q_pmax_bear( clucHA ) |      16 |     16     0     0   100 |           3.17 |          50.75 |           121.913 |           0.53 |
|                    signal_profit_q_pmax_bear( ewo2 ) |      12 |     12     0     0   100 |           3.26 |          39.09 |            93.906 |           0.41 |
