Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|       TOTAL |   2193 |           2.03 |        4444.79 |         10649.931 |         887.49 |        1:53:00 |  2031     0   162  92.6 |
========================================================================== SELL REASON STATS ===========================================================================
|                                              Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|----------------------------------------------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|                                       trailing_stop_loss |     391 |    390     0     1  99.7 |           3.31 |        1295.64 |          3103.94  |          12.7  |
|                         signal_profit_q_momdiv( clucHA ) |     122 |    122     0     0   100 |           4.03 |         491.97 |          1179.38  |           4.82 |
|                              sell_profit_t_1_1( clucHA ) |      76 |     76     0     0   100 |           1.58 |         120.28 |           286.757 |           1.18 |
|                      signal_profit_q_pmax_bear( clucHA ) |      73 |     73     0     0   100 |           3.14 |         229.24 |           550.724 |           2.25 |
|                         sell_stoploss_deadfish( clucHA ) |      54 |      0     0    54     0 |         -10.55 |        -569.96 |         -1369.27  |          -5.59 |
|                         signal_profit_q_momdiv( sqzmom ) |      54 |     54     0     0   100 |           3.52 |         190.17 |           456.862 |           1.86 |
|                         sell_profit_u_bear_1_1( clucHA ) |      52 |     52     0     0   100 |           1.3  |          67.59 |           162.144 |           0.66 |
|                      signal_profit_q_momdiv_coh( gumbo ) |      52 |     52     0     0   100 |           3.66 |         190.37 |           452.035 |           1.87 |
|                       signal_profit_q_pmax_bear( gumbo ) |      51 |     51     0     0   100 |           3.28 |         167.35 |           401.993 |           1.64 |
|                          signal_profit_q_momdiv( gumbo ) |      48 |     48     0     0   100 |           4.57 |         219.49 |           526.345 |           2.15 |
|                     signal_profit_q_momdiv_coh( clucHA ) |      46 |     46     0     0   100 |           3.32 |         152.72 |           366.886 |           1.5  |
|                      signal_profit_q_pmax_bear( sqzmom ) |      45 |     45     0     0   100 |           3.24 |         145.77 |           350.196 |           1.43 |
|                         signal_profit_q_momdiv( nfi_38 ) |      41 |     41     0     0   100 |           3.99 |         163.5  |           390.787 |           1.6  |
|                        signal_profit_q_pmax_bear( ewo2 ) |      39 |     39     0     0   100 |           3.08 |         120.25 |           288.888 |           1.18 |
|                           signal_profit_q_momdiv( ewo2 ) |      36 |     36     0     0   100 |           4.39 |         157.92 |           379.393 |           1.55 |
|                                sell_profit_t_1_1( ewo2 ) |      32 |     32     0     0   100 |           1.55 |          49.7  |           119.389 |           0.49 |
|                        sell_profit_t_cti_r_0_1( clucHA ) |      30 |     30     0     0   100 |           0.51 |          15.23 |            36.594 |           0.15 |
|                          sell_stoploss_deadfish( gumbo ) |      26 |      0     0    26     0 |          -8.65 |        -224.89 |          -540.271 |          -2.2  |
|                     signal_profit_q_momdiv_coh( sqzmom ) |      25 |     25     0     0   100 |           3.17 |          79.16 |           190.162 |           0.78 |
|                           sell_stoploss_deadfish( ewo2 ) |      24 |      0     0    24     0 |          -9.96 |        -238.98 |          -574.133 |          -2.34 |
|                     signal_profit_q_momdiv_coh( nfi_38 ) |      24 |     24     0     0   100 |           2.53 |          60.62 |           145.63  |           0.59 |
|                              sell_profit_t_0_2( clucHA ) |      23 |     23     0     0   100 |           0.51 |          11.79 |            28.317 |           0.12 |
|                                                      roi |      22 |     22     0     0   100 |          20.48 |         450.55 |          1082.4   |           4.42 |
|                                  sell_profit_t_1_1( bb ) |      22 |     22     0     0   100 |           1.54 |          33.97 |            81.612 |           0.33 |
