Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                        signal_profit_q_pmax_bear( ewo2 ) |      10 |     10     0     0   100 |           3.36 |          33.63 |            80.804 |           0.38 |
|                      signal_profit_q_pmax_bear( clucHA ) |       9 |      9     0     0   100 |           3.12 |          28.09 |            67.491 |           0.32 |
|                      signal_profit_q_momdiv_coh( gumbo ) |       8 |      8     0     0   100 |           4.17 |          33.36 |            80.145 |           0.38 |
|                         sell_profit_u_bear_1_1( clucHA ) |       8 |      8     0     0   100 |           1.18 |           9.47 |            22.757 |           0.11 |
|                           sell_stoploss_deadfish( ewo2 ) |       7 |      0     0     7     0 |         -11.81 |         -82.64 |          -198.539 |          -0.94 |
|                         sell_stoploss_deadfish( clucHA ) |       7 |      0     0     7     0 |          -9.34 |         -65.35 |          -157.002 |          -0.74 |
|                           signal_profit_q_momdiv( ewo2 ) |       7 |      7     0     0   100 |           4.45 |          31.13 |            74.788 |           0.35 |
|                       signal_profit_q_pmax_bear( gumbo ) |       6 |      6     0     0   100 |           2.97 |          17.82 |            42.813 |           0.2  |
|                        sell_profit_t_cti_r_0_1( clucHA ) |       6 |      6     0     0   100 |           0.61 |           3.65 |             8.497 |           0.04 |
|                              sell_profit_t_1_1( clucHA ) |       6 |      6     0     0   100 |           1.53 |           9.18 |            22.055 |           0.1  |
|                     signal_profit_q_momdiv_coh( clucHA ) |       6 |      6     0     0   100 |           2.58 |          15.48 |            37.185 |           0.18 |
|                         signal_profit_q_momdiv( nfi_13 ) |       5 |      5     0     0   100 |           2.91 |          14.55 |            34.953 |           0.17 |
|                         signal_profit_q_momdiv( sqzmom ) |       5 |      5     0     0   100 |           3.62 |          18.11 |            43.516 |           0.21 |
